Rank,Rating,Title,Review,Genre
1,,Parasite (Gisaengchung) (2019),456,"['drama', 'mysteryandthriller', 'comedy']"
2,,Avengers: Endgame (2019),533,"['action', 'adventure', 'scifi', 'fantasy']"
3,,Knives Out (2019),459,"['drama', 'mysteryandthriller', 'comedy', 'crime']"
4,,Us (2019),540,"['horror', 'mysteryandthriller']"
5,,Toy Story 4 (2019),447,"['adventure', 'kidsandfamily', 'animation', 'comedy', 'fantasy']"
6,,The Irishman (2019),445,"['drama', 'crime']"
7,,Little Women (2019),414,['drama']
8,,The Farewell (2019),335,"['drama', 'comedy']"
9,,Booksmart (2019),365,"['gayandlesbian', 'comedy']"
10,,A Beautiful Day in the Neighborhood (2019),366,"['drama', 'biography']"
11,,Marriage Story (2019),385,"['drama', 'comedy']"
12,,Spider-Man: Far From Home (2019),445,"['action', 'adventure', 'comedy', 'fantasy']"
13,,If Beale Street Could Talk (2019),353,"['drama', 'crime', 'romance']"
14,,Once Upon a Time In Hollywood (2019),559,"['drama', 'comedy']"
15,,Pain and Glory (Dolor y gloria) (2019),292,['drama']
16,,Shazam! (2019),407,"['action', 'adventure', 'comedy', 'fantasy']"
17,,Ford v Ferrari (2019),343,"['drama', 'biography', 'history']"
18,,The Lighthouse (2019),379,"['drama', 'mysteryandthriller']"
19,,Dolemite Is My Name (2019),228,"['drama', 'biography', 'comedy']"
20,,Uncut Gems (2019),335,"['mysteryandthriller', 'comedy']"
21,,Apollo 11 (2019),183,"['drama', 'history', 'documentary']"
22,,Rocketman (2019),378,"['drama', 'gayandlesbian', 'biography', 'musical']"
23,,Amazing Grace (2019),157,"['music', 'documentary']"
24,,Ash Is Purest White (2019),152,"['drama', 'romance']"
25,,They Shall Not Grow Old (2019),150,"['drama', 'documentary', 'war', 'history']"
26,,Honeyland (2019),123,['documentary']
27,,John Wick: Chapter 3 - Parabellum (2019),345,"['action', 'mysteryandthriller']"
28,,The Peanut Butter Falcon (2019),213,"['drama', 'comedy', 'adventure']"
29,,Honey Boy (2019),230,['drama']
30,,One Cut of the Dead (Kamera o tomeru na!) (2019),87,"['horror', 'comedy']"
31,,Knock Down the House (2019),103,['documentary']
32,,Birds of Passage (Pájaros de verano) (2019),167,"['drama', 'crime']"
33,,Captain Marvel (2019),528,"['action', 'adventure', 'fantasy', 'scifi']"
34,,For Sama (2019),97,"['war', 'documentary']"
35,,Maiden (2019),117,['documentary']
36,,Atlantics (2019),152,
37,,Fighting with My Family (2019),238,"['drama', 'biography', 'comedy']"
38,,Hustlers (2019),342,"['drama', 'comedy']"
39,,One Child Nation (2019),100,['documentary']
40,,3 Faces (2019),97,['drama']
41,,Woman at War (Kona fer í stríð) (2019),117,"['drama', 'comedy']"
42,,Chained for Life (2019),51,['drama']
43,,How to Train Your Dragon: The Hidden World (2019),265,"['adventure', 'kidsandfamily', 'animation', 'comedy', 'fantasy']"
44,,First Love (Hatsukoi) (2019),115,"['drama', 'comedy', 'crime']"
45,,The Chambermaid (La camarista) (2019),70,['drama']
46,,Transit (2019),177,"['history', 'drama']"
47,,Tigers Are Not Afraid (Vuelven) (2019),112,"['horror', 'mysteryandthriller', 'fantasy']"
